file_name,text
DATA_Celine_tache01_11025_121.wav,sp c'est le delta sp en dessous du triangle gris {ns}
DATA_AnnaL_tache01_11025_154.wav,c'est la guitare a cote du sp carre bleu {ns} sp
DATA_Thibault_tache02_11025_41.wav,c'est jeudi en dessous sp du triangle rouge sp {ns} sp
DATA_Lucie_tache01_11025_46.wav,sp c'est la ressource au dessus sp du carre gris {ns}
DATA_Emre_tache02_11025_27.wav,sp c'est le tombeau a cote sp du sp carre jaune {ns} sp
DATA_ClaraG_tache02_11025_152.wav,sp c'est le cigare au dessus du rond jaune {ns}
DATA_Camille_tache02_11025_50.wav,sp c'est le talon sp en dessous du triangle vert {ns} sp
DATA_Lucie_tache01_11025_130.wav,sp c'est le marteau au dessus de l' etoile jaune sp {ns}
DATA_Thibault_tache02_11025_167.wav,c'est l' hommage a cote du triangle bleu sp {ns}
DATA_Thibault_tache01_11025_201.wav,c'est le gala sp en dessous du rond rouge sp {ns}
DATA_Emre_tache01_11025_123.wav,c'est l' assaut sur l' etoile verte sp {ns}
DATA_Thibault_tache01_11025_120.wav,c'est le whiskey sp en dessous sp du rond gris sp {ns} sp
DATA_ClaraG_tache02_11025_24.wav,c'est le bouchon sp sur le triangle jaune {ns}
DATA_Livia_tache02_11025_82.wav,c'est la belle-mere a cote du rond vert {ns}
DATA_Celine_tache01_11025_10.wav,sp c'est l' argile a cote du triangle bleu sp {ns}
DATA_Ariane_tache02_11025_205.wav,sp c'est le gouter sp en dessous du carre sp bleu {ns} sp
DATA_Thomas_tache01_11025_106.wav,c'est la servante a cote du triangle vert {ns}
DATA_Melanie_tache02_11025_14.wav,c'est le secteur en dessous du cercle gris {ns}
DATA_Nael_tache02_11025_55.wav,c'est le tambour sp en dessous du carre rouge sp {ns}
DATA_Clara_tache02_11025_69.wav,c'est le beguin sp a cote du rond sp rouge {ns}
DATA_Melanie_tache02_11025_173.wav,sp c'est le placard en dessous du carre rouge {ns} sp
DATA_Ariane_tache01_11025_204.wav,c'est sp la morphine sp sur le carre sp rouge {ns}
DATA_Clara_tache01_11025_75.wav,c'est le cingle sp a cote du carre bleu sp {ns}
DATA_ClaraG_tache02_11025_186.wav,sp c'est le lezard a cote du rond jaune sp {ns} sp
DATA_Clara_tache01_11025_179.wav,c'est la pancarte sp au dessus du triangle gris sp {ns}
DATA_Nael_tache02_11025_177.wav,c'est la rigueur a cote sp du carre gris {ns} sp
DATA_Clara_tache02_11025_189.wav,c'est le courroux sp a cote de l' etoile bleue {ns} sp
DATA_Ariane_tache02_11025_84.wav,c'est sp le bouton sp a cote de l' etoile sp bleue {ns} sp
DATA_Camille_tache01_11025_132.wav,sp c'est epars sp sur sp le rond sp vert {ns} sp
DATA_Thibault_tache02_11025_148.wav,c'est le donjon sp a cote sp du triangle jaune {ns} sp
DATA_ClaraG_tache02_11025_5.wav,c'est le hublot a cote de l' etoile verte {ns}
DATA_Clara_tache01_11025_151.wav,c'est le batard au dessus sp du carre sp vert {ns}
